,Types of genre,Name of movie,Year of release,Watch time,Movie rating
88,"Biography, Crime, Drama            ",Sardar Udham,2021,164 min,8.4
89,"Action, Drama            ",Asuran,2019,141 min,8.4
90,"Crime, Drama, Thriller            ",Drishyam 2,2021,152 min,8.4
91,"Adventure, Drama, War            ",Inglourious Basterds,2009,153 min,8.3
92,"Action, Drama            ",Top Gun: Maverick,2022,130 min,8.3
93,"Action, Crime, Drama            ",Heat,1995,170 min,8.3
94,Drama            ,American Beauty,1999,122 min,8.3
95,"Drama, Romance            ",Good Will Hunting,1997,126 min,8.3
96,Drama            ,Requiem for a Dream,2000,102 min,8.3
97,"Adventure, Sci-Fi            ",2001: A Space Odyssey,1968,149 min,8.3
98,"Drama, Romance, Sci-Fi            ",Eternal Sunshine of the Spotless Mind,2004,108 min,8.3
99,Drama            ,Jagten,2012,115 min,8.3
